Corpus,InfMorpho,FreqCount,Condition,PreLet,Unit,TotalFreq,UnitFreq,UnitProb,UnitFreqSL,UnitProbSL
Lexique,All Words,Token,Yes,p,i,4693.52,52.03,.0110855,0,0
Lexique,All Words,Token,Yes,p,h,4693.52,1.69,.0003601,0,0
Lexique,All Words,Token,Yes,p,y,4693.52,1.56,.0003324,0,0
Lexique,All Words,Token,Yes,p,f,4693.52,0.07,.0000149,0,0
Lexique,All Words,Token,Yes,q,s,3.45,3.45,1,3.45,1
Lexique,All Words,Token,Yes,r,e,49893.24,30908.39,.6194905,30908.05,.999989
Lexique,All Words,Token,Yes,r,s,49893.24,10114.47,.2027223,10042.58,.992892
Lexique,All Words,Token,Yes,r,t,49893.24,2601.16,.0521345,2586.15,.994229
Lexique,All Words,Token,Yes,r,d,49893.24,1987.57,.0398365,1984.19,.998299
Lexique,All Words,Token,Yes,r,a,49893.24,1822.49,.0365278,0,0
Lexique,All Words,Token,Yes,r,é,49893.24,1458.32,.0292288,0,0
Lexique,All Words,Token,Yes,r,i,49893.24,402.42,.0080656,0,0
Lexique,All Words,Token,Yes,r,u,49893.24,270.97,.0054310,0,0
Lexique,All Words,Token,Yes,r,o,49893.24,172.39,.0034552,0,0
Lexique,All Words,Token,Yes,r,c,49893.24,78.26,.0015685,19.74,.252236
Lexique,All Words,Token,Yes,r,g,49893.24,29.93,.0005999,28.58,.954895
Lexique,All Words,Token,Yes,r,f,49893.24,28.05,.0005622,24.19,.862389
Lexique,All Words,Token,Yes,r,y,49893.24,8.86,.0001776,0,0
Lexique,All Words,Token,Yes,r,n,49893.24,3.79,.0000760,0,0
Lexique,All Words,Token,Yes,r,k,49893.24,2.51,.0000503,0,0
Lexique,All Words,Token,Yes,r,l,49893.24,1.89,.0000379,0,0
Lexique,All Words,Token,Yes,r,m,49893.24,1.15,.0000230,0,0
Lexique,All Words,Token,Yes,r,û,49893.24,0.41,.0000082,0,0
Lexique,All Words,Token,Yes,r,r,49893.24,0.14,.0000028,0,0
Lexique,All Words,Token,Yes,r,è,49893.24,0.07,.0000014,0,0
Lexique,All Words,Token,Yes,s,e,33101.76,14694.25,.4439114,8106.34,.551667
Lexique,All Words,Token,Yes,s,t,33101.76,8033.21,.2426823,0,0
Lexique,All Words,Token,Yes,s,a,33101.76,4590.57,.1386805,0,0
Lexique,All Words,Token,Yes,s,i,33101.76,3860.54,.1166264,0,0
Lexique,All Words,Token,Yes,s,é,33101.76,1734.06,.0523857,0,0
Lexique,All Words,Token,Yes,s,u,33101.76,131.98,.0039871,0,0
Lexique,All Words,Token,Yes,s,s,33101.76,29.76,.0008990,0,0
Lexique,All Words,Token,Yes,s,h,33101.76,11.03,.0003332,0,0
Lexique,All Words,Token,Yes,s,o,33101.76,7.51,.0002269,0,0
Lexique,All Words,Token,Yes,s,y,33101.76,5.00,.0001510,0,0
Lexique,All Words,Token,Yes,s,c,33101.76,2.09,.0000631,0,0
Lexique,All Words,Token,Yes,s,k,33101.76,1.76,.0000532,0,0
Lexique,All Words,Token,Yes,t,e,34868.76,17987.63,.5158666,17212.63,.956915
Lexique,All Words,Token,Yes,t,s,34868.76,6604.24,.1894028,6603.29,.999856
Lexique,All Words,Token,Yes,t,é,34868.76,5746.86,.1648140,0,0
Lexique,All Words,Token,Yes,t,u,34868.76,2692.88,.0772290,0,0
Lexique,All Words,Token,Yes,t,a,34868.76,1231.10,.0353067,0,0
Lexique,All Words,Token,Yes,t,i,34868.76,437.20,.0125384,0,0
Lexique,All Words,Token,Yes,t,o,34868.76,138.91,.0039838,0,0
Lexique,All Words,Token,Yes,t,h,34868.76,21.02,.0006028,0.14,.006660
Lexique,All Words,Token,Yes,t,z,34868.76,5.81,.0001666,0,0
Lexique,All Words,Token,Yes,t,y,34868.76,2.16,.0000619,0,0
Lexique,All Words,Token,Yes,t,à,34868.76,0.88,.0000252,0,0
Lexique,All Words,Token,Yes,t,l,34868.76,0.07,.0000020,0,0
Lexique,All Words,Token,Yes,u,r,92093.99,19530.55,.2120719,286.76,.014683
Lexique,All Words,Token,Yes,u,n,92093.99,14459.75,.1570108,0,0
Lexique,All Words,Token,Yes,u,i,92093.99,13255.97,.1439396,0,0
Lexique,All Words,Token,Yes,u,e,92093.99,11226.17,.1218991,7910.22,.704623
Lexique,All Words,Token,Yes,u,s,92093.99,11149.56,.1210672,10738.23,.963108
Lexique,All Words,Token,Yes,u,x,92093.99,10439.75,.1133597,10439.41,.999967
Lexique,All Words,Token,Yes,u,t,92093.99,8399.70,.0912079,8329.27,.991615
Lexique,All Words,Token,Yes,u,p,92093.99,1128.45,.0122532,1126.96,.998680
Lexique,All Words,Token,Yes,u,é,92093.99,738.70,.0080212,0,0
Lexique,All Words,Token,Yes,u,l,92093.99,707.78,.0076854,75.14,.106163
Lexique,All Words,Token,Yes,u,a,92093.99,276.58,.0030032,0,0
Lexique,All Words,Token,Yes,u,d,92093.99,232.74,.0025272,196.39,.843817
Lexique,All Words,Token,Yes,u,f,92093.99,212.30,.0023053,0,0
Lexique,All Words,Token,Yes,u,m,92093.99,177.66,.0019291,0,0
Lexique,All Words,Token,Yes,u,c,92093.99,102.49,.0011129,16.01,.156210
Lexique,All Words,Token,Yes,u,b,92093.99,20.34,.0002209,0.41,.020157
Lexique,All Words,Token,Yes,u,ë,92093.99,19.07,.0002071,19.07,1
Lexique,All Words,Token,Yes,u,ï,92093.99,6.96,.0000756,0,0
Lexique,All Words,Token,Yes,u,k,92093.99,3.60,.0000391,0,0
Lexique,All Words,Token,Yes,u,o,92093.99,3.10,.0000337,0,0
Lexique,All Words,Token,Yes,u,g,92093.99,2.36,.0000256,2.36,1
Lexique,All Words,Token,Yes,u,h,92093.99,0.27,.0000029,0.27,1
Lexique,All Words,Token,Yes,u,y,92093.99,0.14,.0000015,0,0
Lexique,All Words,Token,Yes,û,t,1054.10,700.25,.6643108,650.59,.929082
Lexique,All Words,Token,Yes,û,r,1054.10,351.82,.3337634,0,0
Lexique,All Words,Token,Yes,û,l,1054.10,2.03,.0019258,2.03,1
Lexique,All Words,Token,Yes,ü,m,1.56,1.49,.9551282,0,0
Lexique,All Words,Token,Yes,ü,k,1.56,0.07,.0448718,0,0
Lexique,All Words,Token,Yes,v,e,4265.44,1864.93,.4372187,1862.57,.998735
Lexique,All Words,Token,Yes,v,a,4265.44,1096.51,.2570684,0,0
Lexique,All Words,Token,Yes,v,é,4265.44,662.47,.1553111,0,0
Lexique,All Words,Token,Yes,v,u,4265.44,511.56,.1199314,0,0
Lexique,All Words,Token,Yes,v,i,4265.44,126.66,.0296945,0,0
Lexique,All Words,Token,Yes,v,o,4265.44,3.31,.0007760,0,0
