Corpus	InfMorpho	FreqCount	WDNoSLE	TypeCont	PhonEnd	OrthCont	Unit	TotalFreq	UnitFreq	UnitProb
ManG2	Inflected	Token	ALL	G1	5	in	s	808.9	677.38	0.8374121
ManG2	Inflected	Token	ALL	G1	5	in	t	808.9	131.52	0.1625879
ManG2	Inflected	Token	SUB	G1	5	in	s	808.9	677.38	0.8374121
ManG2	Inflected	Token	SUB	G1	5	in	t	808.9	131.52	0.1625879
ManG35	All Words	Type	ALL	G1	5	in	#	251	135	0.53784861
ManG35	All Words	Type	ALL	G1	5	in	s	251	94	0.37450199
ManG35	All Words	Type	ALL	G1	5	in	t	251	17	0.06772908
ManG35	All Words	Type	ALL	G1	5	in	ct	251	2	0.00796813
ManG35	All Words	Type	ALL	G1	5	in	cts	251	2	0.00796813
ManG35	All Words	Type	ALL	G1	5	in	gt	251	1	0.00398406
ManG35	All Words	Type	SUB	G1	5	in	s	116	94	0.81034483
ManG35	All Words	Type	SUB	G1	5	in	t	116	17	0.14655172
ManG35	All Words	Type	SUB	G1	5	in	ct	116	2	0.01724138
ManG35	All Words	Type	SUB	G1	5	in	cts	116	2	0.01724138
ManG35	All Words	Type	SUB	G1	5	in	gt	116	1	0.00862069
ManG35	All Words	Token	ALL	G1	5	in	#	4119.11	3205.65	0.7782371
ManG35	All Words	Token	ALL	G1	5	in	s	4119.11	582.73	0.14147104
ManG35	All Words	Token	ALL	G1	5	in	t	4119.11	229.39	0.0556897
ManG35	All Words	Token	ALL	G1	5	in	gt	4119.11	94.34	0.02290286
ManG35	All Words	Token	ALL	G1	5	in	ct	4119.11	5.68	0.00137942
ManG35	All Words	Token	ALL	G1	5	in	cts	4119.11	1.32	0.00031988
ManG35	All Words	Token	SUB	G1	5	in	s	913.47	582.73	0.63793828
ManG35	All Words	Token	SUB	G1	5	in	t	913.47	229.39	0.2511227
ManG35	All Words	Token	SUB	G1	5	in	gt	913.47	94.34	0.10327635
ManG35	All Words	Token	SUB	G1	5	in	ct	913.47	5.68	0.00622023
ManG35	All Words	Token	SUB	G1	5	in	cts	913.47	1.32	0.00144244
ManG35	Uninflected	Type	ALL	G1	5	in	#	138	135	0.97826087
ManG35	Uninflected	Type	ALL	G1	5	in	ct	138	2	0.01449275
ManG35	Uninflected	Type	ALL	G1	5	in	gt	138	1	0.00724638
ManG35	Uninflected	Type	SUB	G1	5	in	ct	3	2	0.66666667
ManG35	Uninflected	Type	SUB	G1	5	in	gt	3	1	0.33333333
ManG35	Uninflected	Token	ALL	G1	5	in	#	3305.67	3205.65	0.96974244
ManG35	Uninflected	Token	ALL	G1	5	in	gt	3305.67	94.34	0.0285387
ManG35	Uninflected	Token	ALL	G1	5	in	ct	3305.67	5.68	0.00171886
ManG35	Uninflected	Token	SUB	G1	5	in	gt	100.02	94.34	0.94319246
