Corpus	InfMorpho	FreqCount	Condition	PreLet	Unit	TotalFreq	UnitFreq	UnitProb	UnitFreqSL	UnitProbSL
Lexique	All Words	Type	Yes	e	p	22870	5	0.0002186	0	0
Lexique	All Words	Type	Yes	e	g	22870	3	0.0001312	0	0
Lexique	All Words	Type	Yes	e	b	22870	2	0.0000875	0	0
Lexique	All Words	Type	Yes	e	i	22870	2	0.0000875	0	0
Lexique	All Words	Type	Yes	e	h	22870	1	0.0000437	0	0
Lexique	All Words	Type	Yes	e	k	22870	1	0.0000437	0	0
Lexique	All Words	Type	Yes	e	o	22870	1	0.0000437	0	0
Lexique	All Words	Type	Yes	e	w	22870	1	0.0000437	0	0
Lexique	All Words	Type	Yes	é	s	6446	3210	0.4979832	3210	1
Lexique	All Words	Type	Yes	é	e	6446	3208	0.497673	3208	1
Lexique	All Words	Type	Yes	é	a	6446	11	0.0017065	0	0
Lexique	All Words	Type	Yes	é	é	6446	8	0.0012411	0	0
Lexique	All Words	Type	Yes	é	o	6446	7	0.0010859	0	0
Lexique	All Words	Type	Yes	é	i	6446	2	0.0003103	0	0
Lexique	All Words	Type	Yes	è	s	35	34	0.9714286	20	0.588235
Lexique	All Words	Type	Yes	è	m	35	1	0.0285714	0	0
Lexique	All Words	Type	Yes	ê	t	16	16	1	16	1
Lexique	All Words	Type	Yes	ë	s	8	7	0.875	7	1
Lexique	All Words	Type	Yes	ë	l	8	1	0.125	0	0
Lexique	All Words	Type	Yes	f	s	353	227	0.6430595	227	1
Lexique	All Words	Type	Yes	f	e	353	48	0.1359773	48	1
Lexique	All Words	Type	Yes	f	é	353	34	0.0963173	0	0
Lexique	All Words	Type	Yes	f	a	353	22	0.0623229	0	0
Lexique	All Words	Type	Yes	f	f	353	8	0.0226629	0	0
Lexique	All Words	Type	Yes	f	t	353	7	0.01983	0	0
Lexique	All Words	Type	Yes	f	i	353	5	0.0141643	0	0
Lexique	All Words	Type	Yes	f	u	353	2	0.0056657	0	0
Lexique	All Words	Type	Yes	g	e	1123	837	0.745325	837	1
Lexique	All Words	Type	Yes	g	é	1123	147	0.1308994	0	0
Lexique	All Words	Type	Yes	g	s	1123	65	0.0578807	65	1
Lexique	All Words	Type	Yes	g	o	1123	28	0.0249332	0	0
Lexique	All Words	Type	Yes	g	a	1123	22	0.0195904	0	0
Lexique	All Words	Type	Yes	g	i	1123	15	0.0133571	0	0
Lexique	All Words	Type	Yes	g	u	1123	5	0.0044524	0	0
Lexique	All Words	Type	Yes	g	t	1123	2	0.0017809	2	1
Lexique	All Words	Type	Yes	g	h	1123	1	0.0008905	0	0
Lexique	All Words	Type	Yes	g	y	1123	1	0.0008905	0	0
Lexique	All Words	Type	Yes	h	e	723	369	0.5103734	369	1
Lexique	All Words	Type	Yes	h	é	723	153	0.2116183	0	0
Lexique	All Words	Type	Yes	h	a	723	115	0.1590595	0	0
Lexique	All Words	Type	Yes	h	s	723	32	0.04426	32	1
Lexique	All Words	Type	Yes	h	i	723	27	0.0373444	0	0
Lexique	All Words	Type	Yes	h	o	723	10	0.0138313	0	0
Lexique	All Words	Type	Yes	h	u	723	10	0.0138313	0	0
Lexique	All Words	Type	Yes	h	l	723	2	0.0027663	0	0
Lexique	All Words	Type	Yes	h	r	723	2	0.0027663	0	0
Lexique	All Words	Type	Yes	h	t	723	2	0.0027663	0	0
Lexique	All Words	Type	Yes	h	y	723	1	0.0013831	0	0
Lexique	All Words	Type	Yes	i	t	12424	5786	0.4657115	5764	0.996198
Lexique	All Words	Type	Yes	i	s	12424	3440	0.2768835	3395	0.986919
Lexique	All Words	Type	Yes	i	e	12424	1344	0.1081777	1343	0.999256
Lexique	All Words	Type	Yes	i	r	12424	515	0.041452	0	0
Lexique	All Words	Type	Yes	i	n	12424	470	0.03783	0	0
Lexique	All Words	Type	Yes	i	f	12424	251	0.0202028	0	0
Lexique	All Words	Type	Yes	i	é	12424	207	0.0166613	0	0
Lexique	All Words	Type	Yes	i	a	12424	169	0.0136027	0	0
Lexique	All Words	Type	Yes	i	l	12424	104	0.0083709	9	0.086538
Lexique	All Words	Type	Yes	i	c	12424	33	0.0026561	0	0
Lexique	All Words	Type	Yes	i	o	12424	24	0.0019317	0	0
Lexique	All Words	Type	Yes	i	x	12424	21	0.0016903	15	0.714286
Lexique	All Words	Type	Yes	i	p	12424	12	0.0009659	0	0
Lexique	All Words	Type	Yes	i	d	12424	11	0.0008854	3	0.272727
Lexique	All Words	Type	Yes	i	k	12424	9	0.0007244	0	0
Lexique	All Words	Type	Yes	i	m	12424	9	0.0007244	0	0
Lexique	All Words	Type	Yes	i	g	12424	6	0.0004829	0	0
Lexique	All Words	Type	Yes	i	z	12424	4	0.000322	1	0.25
Lexique	All Words	Type	Yes	i	b	12424	3	0.0002415	0	0
Lexique	All Words	Type	Yes	i	i	12424	3	0.0002415	0	0
Lexique	All Words	Type	Yes	i	u	12424	1	0.0000805	0	0
Lexique	All Words	Type	Yes	i	ù	12424	1	0.0000805	0	0
Lexique	All Words	Type	Yes	i	v	12424	1	0.0000805	0	0
Lexique	All Words	Type	Yes	î	t	173	173	1	173	1
Lexique	All Words	Type	Yes	ï	s	30	8	0.2666667	6	0.75
Lexique	All Words	Type	Yes	ï	d	30	6	0.2	0	0
Lexique	All Words	Type	Yes	ï	e	30	5	0.1666667	5	1
Lexique	All Words	Type	Yes	ï	a	30	3	0.1	0	0
Lexique	All Words	Type	Yes	ï	t	30	3	0.1	1	0.333333
Lexique	All Words	Type	Yes	ï	r	30	2	0.0666667	0	0
Lexique	All Words	Type	Yes	ï	c	30	1	0.0333333	0	0
Lexique	All Words	Type	Yes	ï	f	30	1	0.0333333	0	0
Lexique	All Words	Type	Yes	ï	k	30	1	0.0333333	0	0
Lexique	All Words	Type	Yes	j	a	20	7	0.35	0	0
Lexique	All Words	Type	Yes	j	o	20	5	0.25	0	0
Lexique	All Words	Type	Yes	j	e	20	3	0.15	2	0.666667
Lexique	All Words	Type	Yes	j	i	20	3	0.15	0	0
Lexique	All Words	Type	Yes	j	à	20	2	0.1	0	0
Lexique	All Words	Type	Yes	k	s	110	50	0.4545455	49	0.98
Lexique	All Words	Type	Yes	k	a	110	24	0.2181818	0	0
Lexique	All Words	Type	Yes	k	i	110	14	0.1272727	0	0
Lexique	All Words	Type	Yes	k	e	110	5	0.0454545	5	1
Lexique	All Words	Type	Yes	k	é	110	4	0.0363636	0	0
Lexique	All Words	Type	Yes	k	o	110	4	0.0363636	0	0
Lexique	All Words	Type	Yes	k	y	110	4	0.0363636	0	0
Lexique	All Words	Type	Yes	k	u	110	3	0.0272727	0	0
Lexique	All Words	Type	Yes	k	h	110	2	0.0181818	0	0
Lexique	All Words	Type	Yes	l	e	3644	2232	0.6125137	2231	0.999552
Lexique	All Words	Type	Yes	l	é	3644	537	0.1473655	0	0
Lexique	All Words	Type	Yes	l	a	3644	368	0.1009879	0	0
Lexique	All Words	Type	Yes	l	s	3644	306	0.0839737	306	1
Lexique	All Words	Type	Yes	l	i	3644	64	0.0175631	0	0
Lexique	All Words	Type	Yes	l	o	3644	46	0.0126235	0	0
Lexique	All Words	Type	Yes	l	u	3644	45	0.0123491	0	0
Lexique	All Words	Type	Yes	l	l	3644	15	0.0041164	0	0
Lexique	All Words	Type	Yes	l	t	3644	7	0.001921	1	0.142857
Lexique	All Words	Type	Yes	l	à	3644	5	0.0013721	0	0
Lexique	All Words	Type	Yes	l	y	3644	5	0.0013721	0	0
Lexique	All Words	Type	Yes	l	d	3644	4	0.0010977	0	0
Lexique	All Words	Type	Yes	l	f	3644	3	0.0008233	0	0
Lexique	All Words	Type	Yes	l	m	3644	2	0.0005488	0	0
Lexique	All Words	Type	Yes	l	c	3644	1	0.0002744	0	0
Lexique	All Words	Type	Yes	l	h	3644	1	0.0002744	0	0
Lexique	All Words	Type	Yes	l	k	3644	1	0.0002744	0	0
Lexique	All Words	Type	Yes	l	p	3644	1	0.0002744	0	0
Lexique	All Words	Type	Yes	l	x	3644	1	0.0002744	1	1
Lexique	All Words	Type	Yes	m	e	1189	797	0.6703112	796	0.998745
Lexique	All Words	Type	Yes	m	é	1189	147	0.1236333	0	0
Lexique	All Words	Type	Yes	m	a	1189	120	0.1009251	0	0
Lexique	All Words	Type	Yes	m	s	1189	70	0.058873	70	1
Lexique	All Words	Type	Yes	m	i	1189	30	0.0252313	0	0
Lexique	All Words	Type	Yes	m	o	1189	12	0.0100925	0	0
Lexique	All Words	Type	Yes	m	p	1189	5	0.0042052	3	0.6
Lexique	All Words	Type	Yes	m	b	1189	3	0.0025231	3	1
Lexique	All Words	Type	Yes	m	u	1189	2	0.0016821	0	0
Lexique	All Words	Type	Yes	m	y	1189	2	0.0016821	0	0
Lexique	All Words	Type	Yes	m	û	1189	1	0.000841	0	0
Lexique	All Words	Type	Yes	n	t	21921	14613	0.666621	14607	0.999589
Lexique	All Words	Type	Yes	n	s	21921	4667	0.2129009	4661	0.998714
Lexique	All Words	Type	Yes	n	e	21921	1544	0.0704347	1543	0.999352
Lexique	All Words	Type	Yes	n	é	21921	482	0.021988	0	0
