Corpus,InfMorpho,FreqCount,WDNoSLE,TypeCont,PhonEnd,OrthCont,Unit,TotalFreq,UnitFreq,UnitProb
Lexique,Inflected,Type,ALL,G1,5,ain,s,97,84,.86597938
Lexique,Inflected,Type,ALL,G1,5,ain,ts,97,5,.05154639
Lexique,Inflected,Type,ALL,G1,5,ain,t,97,3,.03092784
Lexique,Inflected,Type,ALL,G1,5,ain,c,97,2,.02061856
Lexique,Inflected,Type,ALL,G1,5,ain,cs,97,2,.02061856
Lexique,Inflected,Type,ALL,G1,5,ain,gs,97,1,.01030928
Lexique,Inflected,Type,SUB,G1,5,ain,s,97,84,.86597938
Lexique,Inflected,Type,SUB,G1,5,ain,ts,97,5,.05154639
Lexique,Inflected,Type,SUB,G1,5,ain,t,97,3,.03092784
Lexique,Inflected,Type,SUB,G1,5,ain,c,97,2,.02061856
Lexique,Inflected,Type,SUB,G1,5,ain,cs,97,2,.02061856
Lexique,Inflected,Type,SUB,G1,5,ain,gs,97,1,.01030928
Lexique,Inflected,Token,ALL,G1,5,ain,s,991.30,927.84,.93598305
Lexique,Inflected,Token,ALL,G1,5,ain,t,991.30,35.00,.03530717
Lexique,Inflected,Token,ALL,G1,5,ain,ts,991.30,26.08,.02630889
Lexique,Inflected,Token,ALL,G1,5,ain,gs,991.30,1.22,.00123071
Lexique,Inflected,Token,ALL,G1,5,ain,c,991.30,0.61,.00061535
Lexique,Inflected,Token,ALL,G1,5,ain,cs,991.30,0.55,.00055483
Lexique,Inflected,Token,SUB,G1,5,ain,s,991.30,927.84,.93598305
Lexique,Inflected,Token,SUB,G1,5,ain,t,991.30,35.00,.03530717
Lexique,Inflected,Token,SUB,G1,5,ain,ts,991.30,26.08,.02630889
Lexique,Inflected,Token,SUB,G1,5,ain,gs,991.30,1.22,.00123071
Lexique,Inflected,Token,SUB,G1,5,ain,c,991.30,0.61,.00061535
Lexique,Inflected,Token,SUB,G1,5,ain,cs,991.30,0.55,.00055483
ManG15,All Words,Type,ALL,G1,5,ain,#,102,55,.53921569
ManG15,All Words,Type,ALL,G1,5,ain,s,102,38,.37254902
ManG15,All Words,Type,ALL,G1,5,ain,t,102,5,.04901961
ManG15,All Words,Type,ALL,G1,5,ain,ts,102,3,.02941176
ManG15,All Words,Type,ALL,G1,5,ain,c,102,1,.00980392
ManG15,All Words,Type,SUB,G1,5,ain,s,47,38,.80851064
ManG15,All Words,Type,SUB,G1,5,ain,t,47,5,.10638298
ManG15,All Words,Type,SUB,G1,5,ain,ts,47,3,.06382979
