Corpus	InfMorpho	FreqCount	Phoneme	Position	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	u	Medial	oue	8140	78	0.0095823
Lexique	All Words	Type	u	Medial	oo	8140	70	0.0085995
Lexique	All Words	Type	u	Medial	u	8140	67	0.008231
Lexique	All Words	Type	u	Medial	aou	8140	25	0.0030713
Lexique	All Words	Type	u	Medial	e	8140	12	0.0014742
Lexique	All Words	Type	u	Medial	ow	8140	6	0.0007371
Lexique	All Words	Type	u	Medial	hou	8140	2	0.0002457
Lexique	All Words	Type	u	Medial	o	8140	2	0.0002457
Lexique	All Words	Type	u	Medial	ue	8140	1	0.0001229
Lexique	All Words	Type	z	Medial	s	7529	6488	0.8617346
Lexique	All Words	Type	z	Medial	se	7529	592	0.0786293
Lexique	All Words	Type	z	Medial	z	7529	339	0.0450259
Lexique	All Words	Type	z	Medial	sh	7529	83	0.011024
Lexique	All Words	Type	z	Medial	zz	7529	11	0.001461
Lexique	All Words	Type	z	Medial	x	7529	7	0.0009297
Lexique	All Words	Type	z	Medial	ze	7529	5	0.0006641
Lexique	All Words	Type	z	Medial	si	7529	3	0.0003985
Lexique	All Words	Type	z	Medial	th	7529	1	0.0001328
Lexique	All Words	Type	v	Medial	v	7472	6850	0.9167559
Lexique	All Words	Type	v	Medial	ve	7472	602	0.0805675
Lexique	All Words	Type	v	Medial	w	7472	20	0.0026767
Lexique	All Words	Type	f	Medial	f	6898	4255	0.6168455
Lexique	All Words	Type	f	Medial	ff	6898	1683	0.2439838
Lexique	All Words	Type	f	Medial	ph	6898	867	0.1256886
Lexique	All Words	Type	f	Medial	ffe	6898	54	0.0078284
Lexique	All Words	Type	f	Medial	fe	6898	31	0.0044941
Lexique	All Words	Type	f	Medial	phe	6898	5	0.0007248
Lexique	All Words	Type	f	Medial	fs	6898	2	0.0002899
Lexique	All Words	Type	f	Medial	fh	6898	1	0.000145
Lexique	All Words	Type	&	Medial	on	5921	4539	0.7665935
Lexique	All Words	Type	&	Medial	om	5921	1274	0.2151664
Lexique	All Words	Type	&	Medial	omp	5921	79	0.0133423
Lexique	All Words	Type	&	Medial	un	5921	12	0.0020267
Lexique	All Words	Type	&	Medial	ont	5921	8	0.0013511
Lexique	All Words	Type	&	Medial	hon	5921	4	0.0006756
Lexique	All Words	Type	&	Medial	um	5921	4	0.0006756
Lexique	All Words	Type	&	Medial	ong	5921	1	0.0001689
Lexique	All Words	Type	g	Medial	g	5003	4100	0.8195083
Lexique	All Words	Type	g	Medial	gu	5003	707	0.1413152
Lexique	All Words	Type	g	Medial	gue	5003	82	0.0163902
Lexique	All Words	Type	g	Medial	gg	5003	62	0.0123926
Lexique	All Words	Type	g	Medial	gh	5003	31	0.0061963
Lexique	All Words	Type	g	Medial	c	5003	20	0.0039976
Lexique	All Words	Type	g	Medial	ge	5003	1	0.0001999
Lexique	All Words	Type	Z	Medial	g	4697	2651	0.5644028
Lexique	All Words	Type	Z	Medial	ge	4697	1231	0.2620822
Lexique	All Words	Type	Z	Medial	j	4697	776	0.1652118
Lexique	All Words	Type	Z	Medial	je	4697	39	0.0083032
Lexique	All Words	Type	S	Medial	ch	3869	3306	0.8544844
Lexique	All Words	Type	S	Medial	che	3869	518	0.1338847
Lexique	All Words	Type	S	Medial	sh	3869	22	0.0056862
Lexique	All Words	Type	S	Medial	sc	3869	9	0.0023262
Lexique	All Words	Type	S	Medial	sch	3869	5	0.0012923
Lexique	All Words	Type	S	Medial	chs	3869	4	0.0010339
Lexique	All Words	Type	S	Medial	s	3869	3	0.0007754
Lexique	All Words	Type	S	Medial	j	3869	2	0.0005169
Lexique	All Words	Type	8	Medial	u	2176	2176	1
