ortho	freql
aborigènes	0.07
aborigènes	0.14
abornement	0.07
abortif	0.0
abortive	0.14
abortives	0.2
abouchaient	0.07
abouchais	0.07
abouchait	0.07
abouchant	0.07
abouchements	0.07
aboucher	0.34
abouché	0.07
abouchée	0.07
abouchés	0.07
aboule	0.34
abouler	0.14
aboules	0.0
aboulez	0.14
aboulie	0.14
aboulique	0.07
abouliques	0.14
abounas	0.07
about	0.47
aboutait	0.07
abouti	0.14
abouti	2.84
aboutie	0.07
aboutie	0.0
aboutir	9.8
aboutira	0.41
aboutirai	0.07
aboutiraient	0.14
aboutirais	0.14
aboutirait	0.61
aboutiras	0.07
aboutirent	0.68
aboutirons	0.0
aboutiront	0.27
aboutis	0.0
aboutis	0.34
aboutissaient	1.15
aboutissait	2.5
aboutissant	1.15
aboutissant	0.14
aboutissants	0.81
aboutisse	0.41
aboutissement	4.05
aboutissent	1.49
aboutissez	0.07
aboutissiez	0.07
aboutissions	0.07
aboutit	3.45
aboutonnai	0.07
aboutons	0.07
aboutîmes	0.14
aboya	1.42
aboyaient	0.68
aboyait	1.55
aboyant	0.14
aboyant	1.28
aboyante	0.07
aboyer	3.04
aboyeur	0.0
aboyeur	0.34
aboyeurs	0.14
aboyeurs	0.27
aboyons	0.07
aboyèrent	0.27
aboyé	0.54
abracadabra	0.27
abracadabrant	0.2
abracadabrante	0.0
abracadabrantes	0.34
abracadabrants	0.14
abracadabré	0.0
abrasif	0.27
abrasif	0.34
abrasifs	0.0
abrasifs	0.07
abrasion	0.14
abrasive	0.0
abrasé	0.07
abraxas	0.0
abreuva	0.27
abreuvage	0.07
abreuvaient	0.27
abreuvait	0.47
abreuvant	0.34
abreuve	1.08
abreuvent	0.34
abreuver	2.09
abreuvera	0.0
abreuveraient	0.07
abreuvez	0.0
abreuvoir	3.24
abreuvoirs	0.68
abreuvons	0.07
abreuvé	0.68
abreuvé	0.14
abreuvée	0.27
abreuvés	0.27
abreuvés	0.0
abri	51.08
abri-refuge	0.07
abribus	0.14
abricot	0.68
abricot	1.15
abricotez	0.0
abricotier	0.14
abricotiers	0.27
abricotine	0.07
abricots	1.35
abris	5.68
abrita	0.68
abritai	0.07
abritaient	1.49
abritais	0.14
abritait	4.53
abritant	0.0
abritant	1.82
abrite	2.7
abritent	1.15
abriter	6.96
abritera	0.07
abriterait	0.2
abriterons	0.0
abriteront	0.07
abrites	0.07
abritez	0.2
abritiez	0.0
abritions	0.14
abritons	0.0
abritâmes	0.0
abritèrent	0.07
abrité	3.11
abrité	0.68
abritée	1.15
abritée	0.34
abritées	0.54
abrités	1.08
abrités	0.07
abrogation	0.14
abrogent	0.0
abroger	0.07
abrogé	0.0
abrogé	0.0
abrogée	0.0
abrogées	0.14
abrogés	0.14
abrupt	2.23
abrupt	0.34
abrupte	2.84
abruptement	2.03
abruptes	1.55
abrupts	0.81
abrupts	0.14
abruti	3.04
abruti	4.39
abruti	1.76
abrutie	0.68
abrutie	0.47
abrutie	0.34
abruties	0.07
abruties	0.0
abruties	0.07
abrutir	0.95
abrutira	0.07
abrutis	0.88
abrutis	1.82
abrutis	1.55
abrutissaient	0.2
abrutissais	0.07
abrutissait	0.27
abrutissant	0.27
abrutissant	0.14
abrutissante	0.27
abrutissantes	0.0
abrutissants	0.0
abrutissement	1.42
abrutissent	0.0
abrutisseur	0.07
abrutissions	0.07
abrutit	0.41
abrège	1.28
abrègent	0.34
abrégea	0.14
abrégeai	0.07
abrégeaient	0.07
abrégeait	0.2
abrégeant	0.07
abrégeons	0.07
abréger	1.82
abrégera	0.0
abrégerai	0.0
abrégerait	0.07
abrégez	0.07
abrégeât	0.07
abrégé	0.41
abrégé	0.14
abrégé	0.47
abrégée	0.2
abrégée	0.2
abrégés	0.07
abrégés	0.07
abréviatif	0.07
abréviation	0.41
abréviations	0.54
abscisse	0.0
abscission	0.07
abscons	0.54
absconse	0.07
absconses	0.07
absence	72.5
absences	3.78
absent	18.18
absent	2.16
absenta	0.34
absentai	0.07
absentaient	0.14
absentais	0.14
absentait	1.15
absentant	0.07
absente	6.22
absente	1.49
absente	1.69
absenter	1.49
absentera	0.14
absenterai	0.07
absenterait	0.07
absentes	0.61
absentes	0.2
absentes	0.0
absents	4.8
absents	1.96
absentèrent	0.07
absenté	0.34
absentée	0.2
absentéisme	0.2
absentéiste	0.0
absentéiste	0.0
absentés	0.07
abside	1.55
absides	0.07
absidiales	0.14
absidiole	0.07
absinthant	0.07
absinthe	2.91
absolu	16.42
absolu	7.03
absolue	16.15
absolues	1.01
absolument	63.45
absolus	0.81
absolus	0.2
absolution	2.5
absolutisme	0.68
absolvaient	0.07
absolvait	0.27
absolvant	0.14
absolve	0.0
absolvent	0.2
absolves	0.0
absorba	2.03
absorbables	0.07
absorbai	0.07
absorbaient	0.68
absorbais	0.27
absorbait	3.11
absorbant	0.81
absorbant	0.14
absorbant	0.95
absorbante	0.27
absorbantes	0.2
absorbants	0.07
absorbe	3.38
absorbent	0.61
absorber	4.53
absorbera	0.07
absorberai	0.0
absorberaient	0.07
absorberait	0.14
absorbeur	0.0
absorbez	0.0
absorbions	0.07
absorbons	0.07
absorbèrent	0.41
absorbé	7.84
absorbé	2.3
absorbée	2.3
absorbée	0.61
absorbées	0.41
absorbées	0.34
absorbés	1.69
absorbés	0.47
absorption	1.89
absorptions	0.14
absoudrai	0.0
absoudrait	0.14
absoudre	1.55
absoudriez	0.07
absous	1.08
absous	0.68
absout	0.2
absoute	0.07
absoute	0.07
absoute	0.14
absoutes	0.07
abstenaient	0.07
abstenais	0.34
abstenait	0.81
abstenant	0.41
abstenez	0.07
absteniez	0.0
abstenions	0.07
abstenir	2.77
abstenons	0.2
abstention	1.28
abstentionniste	0.0
abstentionnistes	0.14
abstenu	0.81
abstenue	0.47
abstenue	0.0
abstenues	0.0
abstenus	0.14
abstiendrai	0.0
abstiendraient	0.07
abstiendrais	0.0
abstiendrait	0.07
abstiendras	0.07
abstiendrions	0.14
abstiendrons	0.0
abstiendront	0.0
abstienne	0.07
abstiennent	0.2
abstiennes	0.0
abstiens	0.14
abstient	0.34
abstinence	1.42
abstinences	0.2
abstinent	0.0
abstinente	0.0
abstinrent	0.07
abstins	0.41
abstint	0.81
abstraction	2.09
abstractions	0.88
abstraire	0.74
abstrais	0.07
abstrait	1.42
abstrait	3.85
abstrait	0.95
abstraite	0.2
abstraite	4.8
abstraitement	0.34
abstraites	0.2
abstraites	1.55
abstraits	0.54
abstraits	1.15
abstraits	0.41
abstrus	0.34
abstruse	0.14
abstruses	0.14
abstînt	0.27
absurde	24.8
absurde	4.73
absurdement	3.72
absurdes	6.15
absurdes	0.2
absurdistes	0.07
absurdité	5.54
absurdités	0.74
abus	8.58
abusa	0.2
abusai	0.07
abusaient	0.27
abusais	0.27
abusait	1.82
abusant	0.81
abuse	1.62
abusent	0.88
abuser	4.12
abusera	0.0
abuserai	0.07
abuserais	0.14
abuserait	0.07
abuserez	0.07
abuseriez	0.0
abuses	0.07
abuseur	0.0
abusez	0.34
abusiez	0.0
abusif	0.61
abusifs	0.14
abusive	0.74
abusivement	1.15
abusives	0.34
abusons	0.0
abusèrent	0.07
abusé	2.7
abusé	0.41
abusée	0.27
abusée	0.2
abusées	0.07
abusées	0.0
abusés	0.34
abusés	0.14
abyme	0.07
abyssal	0.34
abyssale	0.2
abyssales	0.2
abysse	0.07
abysses	0.34
abyssin	0.14
abyssin	0.14
abyssinien	0.0
abyssinienne	0.0
abyssins	0.07
abâtardi	0.2
abâtardie	0.07
abâtardies	0.07
abâtardir	0.07
abâtardirai	0.07
abâtardissant	0.0
abécédaire	0.07
abêti	0.14
abêti	0.47
abêties	0.07
abêtir	0.54
abêtis	0.07
abêtis	0.07
abêtissait	0.14
abêtissement	0.54
abêtit	0.07
abîma	0.74
abîmai	0.14
abîmaient	0.2
abîmait	1.22
abîmant	0.54
abîme	14.59
abîme	2.16
abîment	0.88
abîmer	5.95
abîmera	0.14
abîmerai	0.0
abîmerais	0.07
abîmerait	0.2
abîmeras	0.14
abîmerez	0.0
abîmeront	0.14
abîmes	6.01
abîmes	0.2
abîmez	0.2
abîmions	0.14
abîmons	0.07
abîmé	4.73
abîmée	1.76
abîmées	0.74
abîmés	1.35
acabit	1.55
acabits	0.07
acacia	3.24
acacias	3.11
acadien	0.0
acadien	0.0
acadienne	0.0
acadiens	0.07
académicien	0.74
académiciens	0.81
académie	8.31
académies	1.15
académique	0.61
académiquement	0.14
académiques	0.54
académisme	0.27
académisé	0.07
acagnardai	0.07
acagnardait	0.14
acagnarder	0.14
acagnardé	0.34
acagnardée	0.07
acajou	1.62
acajou	5.81
acajous	0.14
acanthe	0.27
acanthes	0.34
acariens	0.07
acariâtre	1.22
acariâtres	0.34
accabla	0.95
accablai	0.07
accablaient	1.42
accablais	0.27
accablait	3.11
accablant	1.42
accablant	0.74
accablante	2.43
accablantes	0.81
accablants	0.74
accable	1.96
accablement	3.58
accablements	0.14
accablent	0.74
